ID,string
type1,Soldier
type2,Trooper
type3,Sniper
type4,Support
playerName0,DaSom
playerName1,LeonE
playerName2,Luna
playerName3,Bell
skillName0,AR skill
skillName1,SG skill
skillName2,SR skill
skillName3,HG skill
skillName-1,None
entry,Entry
break,Break
recruitMoneyLackMessege,needed for recruit
recruitMoneyLackMessegeCurr,current money
recruitCheckMessege,to recruit Players?
recruitCheckCurrMessege,current money
count, 
money,coin
crystal,crystal
ticket,Ticket
menu,menu
store,store
player,player
gear,gear
recruit,Recruit
schedule,Schedule
dormitory,Dormitory
story,Story
regular match,Official
scrimmage,Scrimmage
game start,Start
ok,Ok
need5players,Please specify all 5 entries. Would you like to go to entry settings?
player recruit,Player recruit
tryout,Tryout
trade center,Trade center
probability information,probability info
recruit1,recruit x1
recruit10,recruit x10
transfer center,Transfer center
cancel,cancel
recruit check,recruit check
space lack,space lack
goods,goods
squads full warning,The squad is full and we cannot proceed with recruiting any more players. Would you like to go to the ejection screen?
squad,Squad
indication,Filter
all,all
filter,filter
sort level,Level
sort grade,Grade
sort get,Acquisition
ascending,ascending
descending,descending
warning,warning
training,training
move speed,speed
sight,sight
range,range
detection range,detection range
accuracy,accuracy
reaction speed,reaction speed
atk rate,attack rate
critical,critical
atk,attack
hp,health
potential,potential
lv,level
skill lv,skill level
reset_list_check,for renew your list?
with1, 
recruit_with_tradepoint,used for recruit
draft5,Tryout
select_complete,Complete
tryout_check_messege,for tryout?
check_select, to choose?
curr_selected_player,Current selected player
upbringing,Upbringing
collection,collection
representative_player,representative player
select_schedule,select schedule
empty_string, 
option,setting
exit_game,exit game
question_exit_game,Would you really end the game?
lobby,Lobby
recruitMoneyLackMessegeUpgrade,needed for analysis.
playerName4,CuBE
playerName5,Sylvia
playerName6,taKILLa
playerName7,Lumia
playerName8,White
playerName9,ZinZo
playerName10,RapieR
playerName11,mocha
playerName12,Damade
playerName13,Somin
playerName14,Coat
playerName15,DICE
playerName16,BENDIT
playerName17,Awaken
playerName18,SDP
playerName19,RCLP
playerName20,NoNex
reset,reset
reset_check,"The program ends, and all progresses disappear. Would you really keep it?"
3rd,Div 3
2nd,Div 2
1st,Div 1
champions,Champs
notification,Notice
official_entry_warning1,Would you like a regular battle?
official_entry_warning2,*You can't change the entry after entering the regular war.
next_play,Next game
leader_board,leader board
player_log,Player record
player_detail_info,Player details
level,level
skill_level,Skill level
setting option,Option
give up,give up
resume,resume
give up warning,"If you give up the game, you will be defeated <br>Want to leave?"
pick entry member,Player decision
entry member,Starter
bench member,Candidate
select line,Select Line
auto select,auto select
top attack select,top attack
bottom attack select,bottom attack
top defend select,top defense
bottom defend select,bottom defense
daily_scream_count,daily screams
3rd_league,3rd division
2nd_league,2nd division
1st_league,1st division
champions_league,Champions League
have_mount,Mount
can_get_xp,You can acquire experience
can_get_coin,You can get a coin
can_get_xp_coin,You can acquire experience and coins
xp1,3rd League Analysis Video <br> Experienced Goods
xp2,2nd League Analysis Video <br> Experience Goods
xp3,The first division analysis video <br> Experienced goods
xp4,"Champions League Analysis Video
 
 Experience"
coin,Coin
mon,monday
tue,tuesday
wed,wednesday
thu,thursday
fri,friday
sat,Saturday
sun,sunday
playoff_fail,Failure playoff
grade4,4th
grade3,3rd
grade2,2nd
win_official,Win
random_team_name0,Blaze Storm
random_team_name1,Epic Empire
random_team_name2,Orion object
random_team_name3,Cosmic power
random_team_name4,Starlight crew
random_team_name5,Legend Trive
random_team_name6,Red Fires
random_team_name7,Skyword
random_team_name8,Prime Elite
random_team_name9,Infinity Realm
random_team_name10,Shadow Forge
random_team_name11,Flashwave
random_team_name12,Astral Force
random_team_name13,Future Flame
