ID,string
type1,일반
type2,돌격
type3,저격
type4,지원
playerName0,다솜
playerName1,리온
playerName2,고냥준
playerName3,베스퍼
skillName0,AR스킬
skillName1,SG스킬
skillName2,SR스킬
skillName3,HG스킬
skillName-1,없음
entry,엔트리
break,돌파
recruitMoneyLackMessege,가 부족해 선수 영입을 진행할 수 없어요.
recruitMoneyLackMessegeCurr,현재 보유 재화 : 
recruitCheckMessege,를 사용하여 선수 영입을 진행하시겠어요?
recruitCheckCurrMessege,현재 보유 재화 : 
count,개
money,골드
crystal,수표
ticket,선발권
menu,메뉴
store,상점
player,선수
gear,장비
recruit,영입
schedule,일정
dormitory,숙소
story,스토리
regular match,정규전
scrimmage,스크림
game start,입장
ok,확인
need5players,5명의 엔트리를 모두 지정해주세요. 엔트리 설정으로 이동하시겠어요?
player recruit,선수영입
tryout,트라이아웃
trade center,트레이드센터
probability information,확률 정보
recruit1,1회 영입
recruit10,10회 영입
transfer center,이적 센터
cancel,취소
recruit check,영입 확인
space lack,선수단 자리 부족
goods,재화
squads full warning,선수단이 가득 차 더 이상  선수영입을 진행할 수 없어요. 방출 화면으로 이동하시겠어요?
squad,선수단
indication,표시
all,모두
filter,필터
sort level,레벨순
sort grade,등급순
sort get,습득순
ascending,오름차순
descending,내림차순
warning,경고
training,훈련
move speed,이동속도
sight,시야
range,사정거리
detection range,감지거리
accuracy,정확도
reaction speed,반응속도
atk rate,공격속도
critical,치명타율
atk,공격력
hp,체력
potential,포텐셜
reset_list_check,를 사용하여 리스트 갱신을 진행하시겠어요?
with1, 
recruit_with_tradepoint,트레이드 포인트로 영입했습니다
draft5,트라이아웃
select_complete,선택 완료
tryout_check_messege,를 사용하여 트라이아웃을 진행하시겠어요?
check_select, 선택하시겠어요?
curr_selected_player,현재 선택된 선수
upbringing,육성
collection,수집
representative_player,대표선수
select_schedule,일정 선택
empty_string,  
option,설정
exit_game,게임종료
question_exit_game,정말 게임을 종료하시겠습니까?
lobby,로비
recruitMoneyLackMessegeUpgrade,가 부족해 분석을 진행할 수 없어요.
playerName4,큐브
playerName5,실비아
playerName6,타킬라
playerName7,루미아
playerName8,White
playerName9,냥꾼
playerName10,레이피어
playerName11,모카
playerName12,다메이드
playerName13,소민
playerName14,코트
playerName15,DICE
playerName16,BENDIT
playerName17,각성
playerName18,SDP
playerName19,RCLP
playerName20,노네임드
reset,초기화
reset_check,"프로그램이 종료되며, 모든 진행내역이 사라집니다. 정말 계속하시겠습니까?"
