MonID,MonName,Grade,UniqueSkill,Type,Info,WeaponType,AtkType,KitingType,Mag,Reload,HP,Atk,AtkRate,Speed,Sight,Range,Critical,Accuracy,Reaction,Detection
31101,,3,0,2,,2,0,1,9,4,310,30,1.4,4,11,6,0.2,45,10,5
31102,,4,0,3,,3,1,0,6,3.5,170,30,0.95,2.5,11,9,0.2,70,9,5
31103,,5,0,4,,4,0,0,8,2.5,187,28,1.1,3,10,7,0.2,70,10,6
31104,,3,0,1,,1,0,0,30,2.5,158,40,1.1,3.8,9,9,0.3,75,9,5
31105,,4,0,1,,1,0,0,30,3,166,42,1.1,3.9,10,9.5,0.3,75,9,5
31201,,3,0,1,,3,1,0,35,3.5,222,57,1,4.5,10,9.5,0.2,75,10,6
31202,,3,0,2,,3,1,0,7,3.5,370,43,1.3,4.5,12,6.5,0.2,45,12,6
31203,,4,0,2,,3,1,0,7,3.5,383,44,1.3,4.5,12,6.5,0.2,45,12,6
31204,,4,0,3,,3,1,0,7,3.5,200,50,0.92,2.7,13,10,0.2,77,10,6
31205,,5,0,4,,4,1,0,8,2.5,215,43,1,3,13,9,0.2,77,11,8
31301,,3,0,2,,2,0,1,9,4,442,58,1.1,4.5,13,7,0.2,45,13,6
31302,,4,0,3,,3,1,0,6,3.5,243,68,0.85,3.5,14,13,0.2,80,11,7
31303,,5,0,4,,4,0,0,8,2.5,250,54,1,3.5,14,9,0.2,80,12,9
31304,,3,0,1,,1,0,0,30,2.5,274,69,0.9,6,11,10,0.2,75,11,8
31305,,4,0,1,,1,0,0,30,3,280,71,0.8,6,11,10,0.2,75,11,8
31401,,3,0,1,,3,1,0,35,3.5,318,87,0.6,6.5,12,11,0.3,77,13,9
31402,,3,0,2,,3,1,0,7,3.5,514,72,0.9,5,14,9,0.3,46,14,8
31403,,4,0,2,,3,1,0,7,3.5,520,74,0.9,5,15,9,0.3,46,14,8
31404,,4,0,3,,3,1,0,7,3.5,276,83,0.8,4,14,13,0.3,83,12,8
31405,,5,0,4,,4,1,0,8,2.5,297,70,0.9,4,14,13,0.3,83,13,10
